,Adresse,Antall etasjer,Areal til energisentral,Bebygd areal,Bruksareal,Byggeår,Bygningsstandard,Bygningstype,Energibrønn,Energikarakter,Energiområde,Fjernes,Fjernvarme,Fjernvarme i nye bygg,Høyde,Kulturminne,Latitude,Longitude,Mye fjernvarme og sol,Ny bygningsstandard,Oppvarmingskarakter,Plan,Polygon,Referansesituasjon,Scenario,Solcelleareal,Solceller,air_water_heatpump_compressor,air_water_heatpump_extracted_from_air,air_water_heatpump_peak,air_water_heatpump_size,cooling,cooling_compressor,cooling_compressor_max,cooling_compressor_sum,cooling_covered,cooling_covered_max,cooling_covered_sum,cooling_max,cooling_peak,cooling_pump_size,cooling_sum,dhw_max,dhw_sum,district_heating_covered,district_heating_not_covered,electric_balance_max,electric_balance_sum,electric_vehicle_demand,elspecific_max,elspecific_sum,geoenergy_borehole_meters,geoenergy_compressor,geoenergy_extracted_from_wells,geoenergy_heatpump_size,geoenergy_peak,heating_balance_max,heating_balance_sum,solar_production,solar_production_max,solar_production_sum,spaceheating_max,spaceheating_sum,total_balance,total_balance_max,total_balance_sum
0,,,,2167.0,,,Veldig energieffektiv,Kultur,,,B,,,"['Kjølemaskin', 'Fjernvarme', 'Passivhus', 'Fjernkjøling']",,,63.4099068131686,10.3905592956011,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.38980481289591 63.40956140237701,10.389688489300704 63.40960759473098,10.389746593675651 63.409637100510864,10.391081704483993 63.41031322631344,10.391399047112689 63.41018734085244,10.390063934757174 63.40951121800635,10.389910473650405 63.40957213389235,10.3898913752956 63.40956235587581,10.389858758633785 63.40957532970856,10.389877852643135 63.40958501800821,10.389863117470824 63.40959090616315,10.38980481289591 63.40956140237701",['Kjølemaskin'],,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,[nan nan nan ... nan nan nan],,0.0
1,,,,1063.0,,2030.0,Veldig energieffektiv,Kontor,,,B,,,"['Kjølemaskin', 'Fjernvarme', 'Passivhus', 'Fjernkjøling']",,,63.4045145048397,10.3956525807771,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.39511946483652 63.40439076336459,10.39526102368591 63.40439063799518,10.39526104946775 63.40438704719763,10.395401011549241 63.40438702704335,10.395400941407914 63.404381462382,10.395500653868064 63.40438138632859,10.395500599927962 63.40436379317961,10.395926433268546 63.40436250657857,10.395926955003457 63.404512845962714,10.395927233838776 63.40459319136483,10.39598030139143 63.40459330132302,10.395980229628103 63.404612421683595,10.396077741345382 63.404612366731584,10.396077923148624 63.40467789242844,10.396078205269768 63.40474548170889,10.395812300565819 63.404745655539145,10.395812019070412 63.40467806625665,10.395811877271814 63.40465454956398,10.395697549274365 63.404654678809344,10.395697440713255 63.404615363389595,10.395634370484917 63.404615440778215,10.3956339874287 63.40452927141305,10.39554360308024 63.404529338256346,10.395395316739227 63.40452944779697,10.395395459424478 63.40452002122072,10.395267713907895 63.40452010161425,10.395254955169069 63.40454598835155,10.395120064127052 63.404530878558866,10.39511946483652 63.40439076336459",['Kjølemaskin'],,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,[nan nan nan ... nan nan nan],,0.0
2,,5.0,,700.0,3150.0,2030.0,Veldig energieffektiv,Hus,,,A,,,"['Kjølemaskin', 'Passivhus', 'Kjølemaskin']",16.0,,63.4051363003055,10.3958689444465,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.395908761983124 63.40490399996865,10.396104010282095 63.4053440923643,10.395829124415174 63.4053685997545,10.395633880152573 63.40492850697489,10.395908761983124 63.40490399996865",['Kjølemaskin'],BG2,,,,,,,,,35.98603448275862,11004.872586206897,,71.97206896551724,22009.745172413794,71.97206896551724,0.0,71.97206896551724,22009.745172413794,12.759285105,62740.321482195,,,25.52,126169.11,,25.521168645,126170.210553975,,,,,,69.39,246878.36000000002,,,,58.36277663999999,184140.24373395002,[33.06 26.57 24.67 ... 69.93 63.1  57.09],89.58,373047.47
3,,8.0,72.0,1000.0,7200.0,2030.0,Veldig energieffektiv,Kontor,,,B,,,"['Kjølemaskin', 'Fjernvarme', 'Passivhus', 'Fjernkjøling']",25.0,,63.4050855341944,10.3964383456218,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.396537061525278 63.4048479819731,10.396732319050136 63.405288073491036,10.396339626361133 63.40532308560987,10.396144374602443 63.40488299354335,10.396537061525278 63.4048479819731",['Kjølemaskin'],BG2,,,,,,,,,90.206308454062,9232.34128002934,,180.412616908124,18464.68256005868,180.412616908124,0.0,180.412616908124,18464.68256005868,16.811359919999997,86383.66934880002,,,178.78,918673.03,,178.78391639999998,918669.73703328,,,,,,177.38,268458.03,,,,169.62055199999998,182072.38753007998,[ 98.14  99.17 101.88 ... 133.96 129.74 127.93],321.85,1187131.06
4,,8.0,72.0,1000.0,7200.0,2030.0,Veldig energieffektiv,Kontor,,,B,,,"['Kjølemaskin', 'Fjernvarme', 'Passivhus', 'Fjernkjøling']",25.0,,63.4056136441234,10.3966726555573,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.39677137128267 63.40537609175769,10.396378677440387 63.405411103986225,10.396573936474605 63.40585119568321,10.396966636083274 63.4058161829061,10.39677137128267 63.40537609175769",['Kjølemaskin'],BG2,,,,,,,,,90.206308454062,9232.34128002934,,180.412616908124,18464.68256005868,180.412616908124,0.0,180.412616908124,18464.68256005868,16.811359919999997,86383.66934880002,,,178.78,918673.03,,178.78391639999998,918669.73703328,,,,,,177.38,268458.03,,,,169.62055199999998,182072.38753007998,[ 98.14  99.17 101.88 ... 133.96 129.74 127.93],321.85,1187131.06
5,,5.0,,700.0,3150.0,2030.0,Veldig energieffektiv,Hus,,,A,,,"['Kjølemaskin', 'Passivhus', 'Solceller', 'Kjølemaskin']",16.0,,63.405664411189,10.3961032443486,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.396143060669392 63.40543211080647,10.396338316243783 63.4058722028326,10.396063425533056 63.40589671068358,10.395868173995185 63.405456618273476,10.396143060669392 63.40543211080647",['Kjølemaskin'],BG2,,,,,,,,,35.98603448275862,11004.872586206897,,71.97206896551724,22009.745172413794,71.97206896551724,0.0,71.97206896551724,22009.745172413794,12.759285105,62740.321482195,,,25.52,126169.11,,25.521168645,126170.210553975,,,,,,69.39,246878.36000000002,,,,58.36277663999999,184140.24373395002,[33.06 26.57 24.67 ... 69.93 63.1  57.09],89.58,373047.47
6,,5.0,,700.0,3150.0,2030.0,Veldig energieffektiv,Hus,,,A,,,"['Solceller', 'Kjølemaskin', 'Passivhus', 'Kjølemaskin']",16.0,,63.406192521629,10.3963375529814,"['Solceller', 'Kjølemaskin', 'Oppgradert bygningsmasse', 'Solceller', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.39637736808621 63.405960221200864,10.396572630936467 63.406400312857464,10.396297735381744 63.40642482116924,10.39610247656816 63.40598472912866,10.39637736808621 63.405960221200864","['Solceller', 'Kjølemaskin']",BG2,630.3946709663602,,,,,,,,35.98603448275862,11004.872586206897,,71.97206896551724,22009.745172413794,71.97206896551724,0.0,71.97206896551724,22009.745172413794,12.759285105,62740.321482195,,,25.52,51277.79,,25.521168645,126170.210553975,,,,,,69.39,246878.36000000002,,62.48834900000001,74890.8869108036,58.36277663999999,184140.24373395002,[33.06 26.57 24.67 ... 69.93 63.1  57.09],89.58,298156.15
7,,8.0,72.0,1000.0,7200.0,2030.0,Veldig energieffektiv,Kontor,,,B,,,"['Kjølemaskin', 'Fjernvarme', 'Passivhus', 'Fjernkjøling']",25.0,,63.4061417536089,10.3969069742239,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.396612989009046 63.40593921398568,10.397005689771008 63.40590420109884,10.397200961847872 63.40634429187765,10.396808255319307 63.4063793053131,10.396612989009046 63.40593921398568",['Kjølemaskin'],BG2,,,,,,,,,90.206308454062,9232.34128002934,,180.412616908124,18464.68256005868,180.412616908124,0.0,180.412616908124,18464.68256005868,16.811359919999997,86383.66934880002,,,178.78,918673.03,,178.78391639999998,918669.73703328,,,,,,177.38,268458.03,,,,169.62055199999998,182072.38753007998,[ 98.14  99.17 101.88 ... 133.96 129.74 127.93],321.85,1187131.06
8,,4.0,,476.0,1713.6,2030.0,Veldig energieffektiv,Hus,,,A,,,"['Kjølemaskin', 'Passivhus', 'Kjølemaskin']",13.0,,63.4063929672712,10.3959365968056,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.396297735381744 63.40642482116924,10.39563012991266 63.4064843391582,10.395575459578671 63.40636111315677,10.396243062302757 63.40630159542892,10.396297735381744 63.40642482116924",['Kjølemaskin'],BG2,,,,,,,,,19.576402758620688,5986.650686896551,,39.152805517241376,11973.301373793101,39.152805517241376,0.0,39.152805517241376,11973.301373793101,6.94105109712,34130.73488631408,,,13.88,68630.14,,13.883515742879998,68636.5945413624,,,,,,37.75,134303.72,,,,31.749350492159994,100172.29259126881,[17.99 14.46 13.42 ... 38.04 34.33 31.06],48.730000000000004,202933.86
9,,4.0,,756.0,2721.6,2030.0,Veldig energieffektiv,Hus,,,A,,,"['Kjølemaskin', 'Passivhus', 'Kjølemaskin']",13.0,,63.4058823603717,10.3955059425058,"['Kjølemaskin', 'Oppgradert bygningsmasse', 'Fjernvarme', 'Fjernkjøling']",Veldig energieffektiv,,S1,"10.396063425533056 63.40589671068358,10.39600875449131 63.40577348483979,10.394948461656861 63.40586800976476,10.395003128339052 63.405991236023226,10.396063425533056 63.40589671068358",['Kjølemaskin'],BG2,,,,,,,,,31.091933793103447,9508.209914482759,,62.183867586206894,19016.419828965518,62.183867586206894,0.0,62.183867586206894,19016.419828965518,11.02402233072,54207.637760616475,,,22.05,109010.45,,22.050289709279998,109011.06191863438,,,,,,59.95,213303.83000000002,,,,50.42543901695999,159097.1705861328,[28.56 22.95 21.32 ... 60.43 54.52 49.33],77.39,322314.28
